City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,aoulef,26.9667,1.0833,37.59,10,0,4.55,DZ,1691131696
135,fortuna,40.5982,-124.1573,17.19,100,100,2.06,US,1691131696
136,le port,-20.9373,55.2919,24.98,91,26,2.33,RE,1691131696
137,idri,27.5,13.2667,33.25,16,0,3.27,LY,1691131696
138,flying fish cove,-10.4217,105.6791,25.82,88,100,6.69,CX,1691131697
139,fale old settlement,-9.3852,-171.2468,28.49,71,99,5.96,TK,1691131697
140,dolinsk,47.35,142.8,13.26,94,100,2.03,RU,1691131697
141,messaad,34.1543,3.5031,29.62,24,0,4.38,DZ,1691131533
142,port elizabeth,-33.918,25.5701,14.16,67,0,2.06,ZA,1691131698
143,ilam,33.6374,46.4227,35.6,12,0,2.06,IR,1691131698
144,sao vicente,-23.9631,-46.3919,20.55,26,21,1.94,BR,1691131646
145,aliwal north,-30.6937,26.7114,9.02,47,100,2.05,ZA,1691131568
146,tacna,-18.0056,-70.2483,14.5,86,49,1.79,PE,1691131699
147,luau,-10.7073,22.2247,20.63,38,0,3.78,AO,1691131699
148,kisanga,-7.4362,37.7034,26.57,52,79,2.31,TZ,1691131699
149,dalandzadgad,43.5708,104.425,31.36,21,3,4.51,MN,1691131699
150,aasiaat,68.7098,-52.8699,0.81,95,100,0.48,GL,1691131700
151,hamilton,43.2334,-79.9496,19.05,92,40,2.06,CA,1691131700
152,wailua homesteads,22.0669,-159.378,26.44,82,20,8.75,US,1691131700
153,ketchikan,55.3422,-131.6461,17.26,67,0,3.09,US,1691131700
154,peacehaven,50.7927,-0.0065,15.82,88,98,7.6,GB,1691131701
155,kangding,30.0513,101.9603,20.14,88,98,2.4,CN,1691131547
156,aykhal,66.0,111.5,9.13,77,100,5.07,RU,1691131701
157,happy valley-goose bay,53.3168,-60.3315,16.17,72,75,0.0,CA,1691131701
158,punta arenas,-53.15,-70.9167,-0.04,73,73,15.25,CL,1691131702
159,khandyga,62.6667,135.6,26.14,28,1,2.0,RU,1691131702
160,lebu,-37.6167,-73.65,6.33,70,1,7.31,CL,1691131702
161,hammerfest,70.6634,23.6821,19.25,77,75,2.06,NO,1691131702
162,gizo,-8.103,156.8419,26.32,86,100,9.45,SB,1691131702
163,puerto leguizamo,-0.1934,-74.7819,22.07,95,98,0.57,CO,1691131703
164,urucui,-7.2294,-44.5561,22.01,70,0,1.83,BR,1691131703
165,kone,-21.0595,164.8658,18.8,78,90,3.06,NC,1691131703
166,kutum,14.2,24.6667,24.67,65,100,0.69,SD,1691131704
167,changji,44.0167,87.3167,35.44,18,0,3.0,CN,1691131704
168,susuman,62.7833,148.1667,16.99,33,69,7.95,RU,1691131704
169,cabo san lucas,22.8909,-109.9124,30.9,71,70,2.24,MX,1691131705
170,zhob,31.3411,69.4481,33.48,23,0,1.49,PK,1691131706
171,saint-pierre,-21.3393,55.4781,23.65,78,75,11.83,RE,1691131600
172,campo mourao,-24.0456,-52.3831,14.92,71,5,1.55,BR,1691131707
173,pinerolo,44.8833,7.35,20.99,63,6,1.79,IT,1691131707
174,basse-terre,15.9985,-61.7255,25.42,77,71,6.61,GP,1691131708
175,selfoss,63.9331,-20.9971,8.36,89,96,2.29,IS,1691131708
176,buta,2.7858,24.73,24.92,83,56,0.99,CD,1691131708
177,libertad,8.9442,125.5019,30.94,62,11,3.28,PH,1691131709
178,lerwick,60.1545,-1.1494,11.0,74,100,7.42,GB,1691131709
179,jiangzi,28.95,89.6333,15.76,39,100,2.23,CN,1691131710
180,ghat,24.9647,10.1728,33.82,13,0,3.0,LY,1691131710
181,boyolangu,-8.1181,111.8935,30.55,100,23,5.64,ID,1691131684
182,argo,19.5167,30.4167,35.62,37,7,7.98,SD,1691131711
183,la ronge,55.1001,-105.2842,19.14,88,20,3.6,CA,1691131567
184,knyaze-volkonskoye,48.4642,135.4567,22.19,61,100,3.65,RU,1691131712
185,east london,-33.0153,27.9116,22.4,33,7,2.96,ZA,1691131712
186,vila franca do campo,37.7167,-25.4333,21.23,74,63,4.0,PT,1691131712
187,caconda,-13.7333,15.0667,16.8,30,0,2.03,AO,1691131713
188,conceicao da barra,-18.5933,-39.7322,17.9,96,6,1.42,BR,1691131713
189,topolovgrad,42.0833,26.3333,26.85,31,0,2.14,BG,1691131713
190,hasaki,35.7333,140.8333,37.39,75,21,9.45,JP,1691131627
191,campbell river,50.0163,-125.2446,19.74,73,12,2.0,CA,1691131608
192,ola,59.5833,151.2833,21.19,64,100,2.38,RU,1691131714
193,santo antonio,-6.3106,-35.4789,18.87,91,6,3.51,BR,1691131714
194,mount isa,-20.7333,139.5,26.87,28,1,4.12,AU,1691131715
195,okhotsk,59.3833,143.3,21.96,41,100,2.03,RU,1691131715
196,de aar,-30.6497,24.0123,10.48,42,100,6.52,ZA,1691131716
197,bubaque,11.2833,-15.8333,26.55,76,100,1.18,GW,1691131716
198,al ghayzah,16.2079,52.176,31.2,60,40,4.14,YE,1691131716
199,cienfuegos,22.1461,-80.4356,25.08,94,12,1.03,CU,1691131485
200,sisimiut,66.9395,-53.6735,5.61,89,84,0.9,GL,1691131717
201,camayenne,9.535,-13.6878,24.05,100,75,2.06,GN,1691131717
202,kill devil hills,36.0307,-75.676,25.01,70,100,2.06,US,1691131717
203,santiago de cao,-7.9589,-79.2392,22.07,83,100,2.57,PE,1691131645
204,awjilah,29.1081,21.2869,31.96,30,0,0.22,LY,1691131718
205,antofagasta,-23.65,-70.4,17.6,91,31,1.17,CL,1691131719
206,ancud,-41.8697,-73.8203,5.08,84,72,2.03,CL,1691131535
207,international falls,48.6011,-93.411,14.1,94,0,0.0,US,1691131719
208,wabag,-5.4781,143.7021,15.48,97,97,0.94,PG,1691131720
209,manay,7.215,126.5397,29.66,79,37,3.94,PH,1691131718
210,constantia,-34.0314,18.4183,15.01,63,0,4.12,ZA,1691131720
211,arno,60.1167,18.6333,16.55,92,100,1.91,SE,1691131721
212,dzuunharaa,48.8523,106.4579,23.41,60,4,0.4,MN,1691131721
213,polyarnyy,69.1989,33.4478,21.23,66,100,8.67,RU,1691131721
214,barcelos,41.5388,-8.6151,16.06,72,0,2.63,PT,1691131721
215,flin flon,54.7682,-101.865,15.92,92,100,2.47,CA,1691131722
216,gaspe,48.8334,-64.4819,19.12,68,100,1.54,CA,1691131722
217,afaahiti,-17.75,-149.2833,23.93,76,100,4.84,PF,1691131722
218,kroya,-7.6331,109.2461,27.96,62,51,5.57,ID,1691131479
